source	target	weight
AAAS	CASC3	1
AAAS	CCDC85C	1
AAAS	CD2BP2	1
AAAS	CDCA8	1
AAAS	CHEBI:1604	1
AAAS	CHEBI:2274	1
AAAS	CPSF1	1
AAAS	CPSF2	1
AAAS	CPSF3	1
AAAS	CUL7	1
AAAS	DDX20	1
AAAS	EFNB2	1
AAAS	EGFR	1
AAAS	EIF4A3	1
AAAS	EIF4E	1
AAAS	FIP1L1	1
AAAS	GCK	1
AAAS	GCKR	1
AAAS	GEMIN2	1
AAAS	GEMIN4	1
AAAS	GEMIN5	1
AAAS	GEMIN6	1
AAAS	GEMIN7	1
AAAS	GNAI3	1
AAAS	HMGA1	1
AAAS	HNRNPC	1
AAAS	HSPA12A	1
AAAS	HSPA12B	1
AAAS	HSPA13	1
AAAS	HSPA14	1
AAAS	HSPA1A	1
AAAS	HSPA1B	1
AAAS	HSPA1L	1
AAAS	HSPA2	1
AAAS	HSPA4	1
AAAS	HSPA4L	1
AAAS	HSPA5	1
AAAS	HSPA6	1
AAAS	HSPA7	1
AAAS	HSPA8	1
AAAS	HSPA9	1
AAAS	INCENP	1
AAAS	IPO8	1
AAAS	ISG15	1
AAAS	KPNA1	1
AAAS	KPNA2	1
AAAS	KPNA3	1
AAAS	KPNA4	1
AAAS	KPNA5	1
AAAS	KPNA7	1
AAAS	KPNB1	1
AAAS	LYPD3	1
AAAS	MAGOH	1
AAAS	NCBP1	1
AAAS	NCBP2	1
AAAS	NDC1	1
AAAS	NPM1	1
AAAS	NTRK1	1
AAAS	NUDC	1
AAAS	NUDCD3	1
AAAS	NUP107	1
AAAS	NUP133	1
AAAS	NUP153	1
AAAS	NUP155	1
AAAS	NUP160	1
AAAS	NUP188	1
AAAS	NUP205	1
AAAS	NUP210	1
AAAS	NUP214	1
AAAS	NUP35	1
AAAS	NUP37	1
AAAS	NUP43	1
AAAS	NUP50	1
AAAS	NUP54	1
AAAS	NUP58	1
AAAS	NUP62	1
AAAS	NUP85	1
AAAS	NUP88	1
AAAS	NUP93	1
AAAS	NUP98	1
AAAS	NUPL2	1
AAAS	NXF1	1
AAAS	NXT1	1
AAAS	OBSL1	1
AAAS	PHAX	1
AAAS	PML	1
AAAS	POLDIP3	1
AAAS	POM121	1
AAAS	POM121C	1
AAAS	POPDC2	1
AAAS	PSIP1	1
AAAS	RAE1	1
AAAS	RAN	1
AAAS	RANBP2	1
AAAS	RANGAP1	1
AAAS	RBM8A	1
AAAS	REL	1
AAAS	RNPS1	1
AAAS	SEH1L	1
AAAS	SLBP	1
AAAS	SLC39A4	1
AAAS	SMN1	1
AAAS	SMN2	1
AAAS	SNRPB	1
AAAS	SNRPD1	1
AAAS	SNRPD2	1
AAAS	SNRPD3	1
AAAS	SNRPE	1
AAAS	SNRPF	1
AAAS	SNRPG	1
AAAS	SNUPN	1
AAAS	SP100	1
AAAS	SRRM1	1
AAAS	SUMO1	1
AAAS	TCTN2	1
AAAS	TCTN3	1
AAAS	TOP2A	1
AAAS	TPR	1
AAAS	UBE2I	1
AAAS	UPF3B	1
AAAS	XPO1	1
AAAS	XPOT	1
AACS	AANAT	1
AACS	ACACA	1
AACS	ACACB	1
AACS	ACAT1	1
AACS	ACAT2	1
AACS	ACLY	1
AACS	ACOT12	1
AACS	ACOT6	1
AACS	ACP2	1
AACS	ACP5	1
AACS	ACP6	1
AACS	ACPP	1
AACS	ACSBG2	1
AACS	ACSL1	1
AACS	ACSL3	1
AACS	ACSL4	1
AACS	ACSL5	1
AACS	ACSS2	1
AACS	ALDH1A3	1
AACS	ALDH3A1	1
AACS	ALDH3B1	1
AACS	ALDH3B2	1
AACS	ALPI	1
AACS	ALPL	1
AACS	ALPP	1
AACS	ALPPL2	1
AACS	AOX1	1
AACS	APRT	1
AACS	ASNS	1
AACS	BAAT	1
AACS	CARNS1	1
AACS	CDS1	1
AACS	CHAT	1
AACS	CHEBI:13705	1
AACS	CHEBI:15345	1
AACS	CHEBI:17369	1
AACS	CHEBI:18361	1
AACS	CHEBI:29888	1
AACS	CHEBI:57286	1
AACS	CHEBI:57287	1
AACS	CHEBI:57288	1
AACS	CHEBI:57392	1
AACS	CHEBI:58280	1
AACS	CMAS	1
AACS	CMTM5	1
AACS	COASY	1
AACS	COQ2	1
AACS	CPT1A	1
AACS	CPT1B	1
AACS	CPT1C	1
AACS	CPT2	1
AACS	DYNC1I2	1
AACS	ECHS1	1
AACS	EHHADH	1
AACS	ENPP1	1
AACS	FASN	1
AACS	FDFT1	1
AACS	GLYCTK	1
AACS	GMPPB	1
AACS	GMPS	1
AACS	GNPNAT1	1
AACS	GPD2	1
AACS	HADH	1
AACS	HADHA	1
AACS	HMGCS1	1
AACS	HMGCS2	1
AACS	HPRT1	1
AACS	HSD17B10	1
AACS	IDH1	1
AACS	IDH2	1
AACS	LEFTY1	1
AACS	MPI	1
AACS	NADSYN1	1
AACS	NAMPT	1
AACS	NANS	1
AACS	NAPRT	1
AACS	NME1	1
AACS	NME2	1
AACS	NME3	1
AACS	NME6	1
AACS	NMNAT3	1
AACS	NUDT12	1
AACS	OXCT1	1
AACS	OXCT2	1
AACS	PAPOLA	1
AACS	PCYT1A	1
AACS	PCYT2	1
AACS	PGM2	1
AACS	PMM1	1
AACS	POLA1	1
AACS	POLA2	1
AACS	POLD1	1
AACS	POLD2	1
AACS	POLD3	1
AACS	POLD4	1
AACS	POLE	1
AACS	POLE2	1
AACS	POLE3	1
AACS	POLE4	1
AACS	POLG	1
AACS	POLG2	1
AACS	POLR3K	1
AACS	PRIM1	1
AACS	PRIM2	1
AACS	PYCR1	1
AACS	PYCR2	1
AACS	PYCRL	1
AACS	REV3L	1
AACS	SAT2	1
AACS	SLC16A7	1
AACS	SLC25A16	1
AACS	SLC27A2	1
AACS	SLC27A3	1
AACS	SLC27A4	1
AACS	SLC27A5	1
AACS	SLC27A6	1
AACS	SLC33A1	1
AACS	SLC7A6	1
AACS	SLC7A9	1
AACS	STAT6	1
AACS	TRIT1	1
AACS	TUBA8	1
AACS	UNC13D	1
AACS	ZCCHC11	1
AADAT	AASDHPPT	1
AADAT	AASS	1
AADAT	ABAT	1
AADAT	ADHFE1	1
AADAT	ALDH18A1	1
AADAT	ALDH4A1	1
AADAT	BBOX1	1
AADAT	BCAT1	1
AADAT	BCAT2	1
AADAT	CHEBI:15753	1
AADAT	CHEBI:16015	1
AADAT	CHEBI:16810	1
AADAT	CHEBI:17082	1
AADAT	CHEBI:17442	1
AADAT	CHEBI:17752	1
AADAT	CHEBI:27593	1
AADAT	CHEBI:28376	1
AADAT	CHEBI:29985	1
AADAT	CHEBI:30915	1
AADAT	CHEBI:37023	1
AADAT	CHEBI:37024	1
AADAT	CHEBI:57499	1
AADAT	CHEBI:58147	1
AADAT	DHTKD1	1
AADAT	DLD	1
AADAT	DLST	1
AADAT	EARS2	1
AADAT	EPRS	1
AADAT	FPGS	1
AADAT	FTCD	1
AADAT	GAD1	1
AADAT	GAD2	1
AADAT	GCLC	1
AADAT	GCLM	1
AADAT	GFPT1	1
AADAT	GFPT2	1
AADAT	GLS	1
AADAT	GLS2	1
AADAT	GLUD1	1
AADAT	GLUD2	1
AADAT	GLUL	1
AADAT	GOT1	1
AADAT	GOT1L1	1
AADAT	GOT2	1
AADAT	GPT	1
AADAT	GPT2	1
AADAT	IDH3A	1
AADAT	IDH3B	1
AADAT	IDH3G	1
AADAT	NAGS	1
AADAT	OAT	1
AADAT	OGDH	1
AADAT	P4HA1	1
AADAT	P4HA2	1
AADAT	PSAT1	1
AADAT	SLC17A6	1
AADAT	SLC17A7	1
AADAT	SLC17A8	1
AADAT	SLC25A11	1
AADAT	SLC25A21	1
AADAT	SLC25A22	1
AADAT	SLC3A2	1
AADAT	SLC7A11	1
AADAT	TAT	1
AADAT	TMLHE	1
AAED1	ELAVL1	1
AAED1	PICK1	1
